text,author
"Wilbur's growth was indeed phenomenal, for within three months of his birth he had attained a size and muscular power not usually found in infants under a full year of age.",HPL
"Pausing, I succeeded with difficulty in raising it, whereupon there was revealed a black aperture, exhaling noxious fumes which caused my torch to sputter, and disclosing in the unsteady glare the top of a flight of stone steps.",HPL
"It was all mud an' water, an' the sky was dark, an' the rain was wipin' aout all tracks abaout as fast as could be; but beginnin' at the glen maouth, whar the trees had moved, they was still some o' them awful prints big as bar'ls like he seen Monday.""",HPL
"The visits of Merrival to Windsor, before frequent, had suddenly ceased.",MWS
"I often compared myself to them, and finding that my chief superiority consisted in power, I soon persuaded myself that it was in power only that I was inferior to the chiefest potentates of the earth.",MWS
"And the children's children, and the newcomers' children, grew up.",HPL
"Dr. Johnson, as I beheld him, was a full, pursy Man, very ill drest, and of slovenly Aspect.",HPL
"It was useless to provide many things, for we should find abundant provision in every town.",MWS
"They fly quickly over the snow in their sledges; the motion is pleasant, and, in my opinion, far more agreeable than that of an English stagecoach.",MWS
"I pointed to the spot where he had disappeared, and we followed the track with boats; nets were cast, but in vain.",MWS
"I have indistinct recollections of a great storm some time after I reached the boat; at any rate, I know that I heard peals of thunder and other tones which Nature utters only in her wildest moods.",HPL
"There had seemed to be no one in the courtyard below, and I hoped there would be a chance to get away before the spreading of a general alarm.",HPL
"Perpetual fear had jaundiced his complexion, and shrivelled his whole person.",MWS
The sun set; the atmosphere grew dim and the evening star no longer shone companionless.,MWS
"The rain ceased; the clouds sunk behind the horizon; it was now evening, and the sun descended swiftly the western sky.",MWS
"Nothing, however, occurred except some hill noises; and when the day came there were many who hoped that the new horror had gone as swiftly as it had come.",HPL
"It was getting dark, and the ancient roofs and chimney pots outside looked very queer through the bull's eye window panes.",HPL
"They were marched to various parts of the southern counties, quartered in deserted villages, a part were sent back to their own island, while the season of winter so far revived our energy, that the passes of the country were defended, and any increase of numbers prohibited.",MWS
"I dared, I conquered them all, till now I have sold myself to death, with the sole condition that thou shouldst follow me Fire, and war, and plague, unite for thy destruction O my Raymond, there is no safety for thee"" With an heavy heart I listened to the changes of her delirium; I made her a bed of cloaks; her violence decreased and a clammy dew stood on her brow as the paleness of death succeeded to the crimson of fever, I placed her on the cloaks.",MWS
"Again he seemed to be in the interior of a house an old house, apparently but the details and inhabitants were constantly changing, and he could never be certain of the faces or the furniture, or even of the room itself, since doors and windows seemed in just as great a state of flux as the more presumably mobile objects.",HPL
"""And what about the window panes?"" ""They were all gone.",HPL
The next morning I delivered my letters of introduction and paid a visit to some of the principal professors.,MWS
"Nor did Raymond make an end without drawing in vivid and glowing colours, the splendour of a kingdom, in opposition to the commercial spirit of republicanism.",MWS
"In a week or two it had visibly faded, and in the course of a few months it was hardly discernible with the naked eye.""",HPL
"The stranger learned about twenty words at the first lesson; most of them, indeed, were those which I had before understood, but I profited by the others.",MWS
"Each people looked on the coming struggle as that which would be to a great degree decisive; as, in case of victory, the next step would be the siege of Constantinople by the Greeks.",MWS
"My lieutenant, for instance, is a man of wonderful courage and enterprise; he is madly desirous of glory, or rather, to word my phrase more characteristically, of advancement in his profession.",MWS
Within twenty four hours that machine near the table will generate waves acting on unrecognised sense organs that exist in us as atrophied or rudimentary vestiges.,HPL
"""Everybody got aout o' the idee o' dyin' excep' in canoe wars with the other islanders, or as sacrifices to the sea gods daown below, or from snake bite or plague or sharp gallopin' ailments or somethin' afore they cud take to the water but simply looked forrad to a kind o' change that wa'n't a bit horrible arter a while.",HPL
"Ahead lay sparse grass and scrub blueberry bushes, and beyond them the naked rock of the crag and the thin peak of the dreaded grey cottage.",HPL
"To be near him, to be loved by him, to feel him again her own, was the limit of her desires.",MWS
"The sky was serene; and, as I was unable to rest, I resolved to visit the spot where my poor William had been murdered.",MWS
"All that he said threw greatly into the shade Cornelius Agrippa, Albertus Magnus, and Paracelsus, the lords of my imagination; but by some fatality the overthrow of these men disinclined me to pursue my accustomed studies.",MWS
"The ex queen gives me Idris; Adrian is totally unfitted to succeed to the earldom, and that earldom in my hands becomes a kingdom.",MWS
"Maternal affection had not rendered Idris selfish; at the beginning of our calamity she had, with thoughtless enthusiasm, devoted herself to the care of the sick and helpless.",MWS
"He came like a protecting spirit to the poor girl, who committed herself to his care; and after the interment of his friend he conducted her to Geneva and placed her under the protection of a relation.",MWS
"I had expected some extravagant proposition, and remained silent awhile, collecting my thoughts that I might the better combat her fanciful scheme.",MWS
"Everyone seemed inclined to be silent now, as though holding a secret fear.",HPL
"They still appeared in public together, and lived under the same roof.",MWS
"I vaow afur Gawd, I dun't know what he wants nor what he's a tryin' to dew.""",HPL
"He began to answer with violence: ""Yes, yes, I hate you You are my bane, my poison, my disgust Oh No"" And then his manner changed, and fixing his eyes on me with an expression that convulsed every nerve and member of my frame ""you are none of all these; you are my light, my only one, my life.",MWS
"I shivered as I wondered why I did not reach the light, and would have looked down had I dared.",HPL
"The slow ravages of disease are not pleasant to watch, but in my case there was something subtler and more puzzling in the background.",HPL
"As the Comte and his associates turned away from the lowly abode of the alchemists, the form of Charles Le Sorcier appeared through the trees.",HPL
"As I have said, it happened when we were in the medical school, where West had already made himself notorious through his wild theories on the nature of death and the possibility of overcoming it artificially.",HPL
"Besides, Perdita was with him in his retirement; she saw the moodiness that succeeded to this forced hilarity; she marked his disturbed sleep, his painful irritability once she had seen his tears hers had scarce ceased to flow, since she had beheld the big drops which disappointed pride had caused to gather in his eye, but which pride was unable to dispel.",MWS
"I packed up my chemical instruments and the materials I had collected, resolving to finish my labours in some obscure nook in the northern highlands of Scotland.",MWS
A definite point among the stars had a claim on him and was calling him.,HPL
"God knows what that world can have been, or where he ever glimpsed the blasphemous shapes that loped and trotted and crawled through it; but whatever the baffling source of his images, one thing was plain.",HPL
My skin was embrowned by the sun; my step was firm with conscious power.,MWS
"It was in these slums along Main Street that I would find the old Georgian churches, but they were all long abandoned.",HPL
"I started forward and exclaimed, ""Villain Before you sign my death warrant, be sure that you are yourself safe.""",MWS
"Only his eyes stayed whole, and they glared with a propulsive, dilated incandescence which grew as the face around them charred and dwindled.",HPL
"He determined to extract and condense all of glory, power, and achievement, which might have resulted from a long reign, into the three years of his Protectorate.",MWS
"Baffled, the excavators sought a conference with the Superintendent, who ordered great lengths of rope to be taken to the pit, and spliced and lowered without cessation till a bottom might be discovered.",HPL
"They had received orders that if I were again taken, I should be brought to the Earl; and his lenity made them expect a conclusion which they considered ill befitting my crime.",MWS
Then the lean Nith remarked that no one had seen the old man or his wife since the night the cats were away.,HPL
"Six years had elapsed, passed in a dream but for one indelible trace, and I stood in the same place where I had last embraced my father before my departure for Ingolstadt.",MWS
"And as I looked, I beheld the head rise, the black, liquid, and deep sunken eyes open in terror, and the thin, shadowed lips part as if for a scream too frightful to be uttered.",HPL
"I had now spent many hours in tears and mournful meditation; it was past twelve o'clock; all was at peace in the house, and the gentle air that stole in at my window did not rustle the leaves of the twining plants that shadowed it.",MWS
"With the traditionally receptive ears of the small boy, I learned much; though an habitual secretiveness caused me to tell no one of my information or my resolve.",HPL
"He did not himself understand these words, or know why certain things made him feel certain emotions; but fancied that some unremembered dream must be responsible.",HPL
"Look, I weep: for more than two years I have never enjoyed one moment free from anguish.",MWS
Justine was called on for her defence.,MWS
"His engagement broken, Galpin moved east to begin life anew; but before long, Appletonians heard of his dismissal in disgrace from New York University, where he had obtained an instructorship in English.",HPL
"He had a narrow head, bulging, watery blue eyes that seemed never to wink, a flat nose, a receding forehead and chin, and singularly undeveloped ears.",HPL
My words flowed spontaneously my utterance was firm and quick.,MWS
"Only a very rare affliction, of course, could bring about such vast and radical anatomical changes in a single individual after maturity changes involving osseous factors as basic as the shape of the skull but then, even this aspect was no more baffling and unheard of than the visible features of the malady as a whole.",HPL
"As I fled from that accursed castle along the bog's edge I heard a new sound; common, yet unlike any I had heard before at Kilderry.",HPL
"He did not try to navigate after the first bold flight, for the reaction had taken something out of his soul.",HPL
"He obeyed her injunctions, and passed a year in exile in Cumberland.",MWS
"He reverted to his past life, his successes in Greece, his favour at home.",MWS
"After each short and inevitable sleep I seemed older, whilst my friend aged with a rapidity almost shocking.",HPL
"I look on the hands which executed the deed; I think on the heart in which the imagination of it was conceived and long for the moment when these hands will meet my eyes, when that imagination will haunt my thoughts no more.",MWS
Horrible sights were shaped to me in the turbid cloud that hovered over the city; and my only relief was derived from the struggles I made to approach the gate.,MWS
"In order to reach it, he said, he would soar through abysses of emptiness, burning every obstacle that stood in his way.",HPL
"I resolved to fly far from the scene of my misfortunes; but to me, hated and despised, every country must be equally horrible.",MWS
I will protect the first the latter I commit to your charge.,MWS
"Miserable himself that he may render no other wretched, he ought to die.",MWS
The police heard a shot in the old Tillinghast house and found us there Tillinghast dead and me unconscious.,HPL
It is even possible that the train of my ideas would never have received the fatal impulse that led to my ruin.,MWS
"I had not entered the army on my own initiative, but rather as a natural result of the enlistment of the man whose indispensable assistant I was the celebrated Boston surgical specialist, Dr. Herbert West.",HPL
"It was my last link with a chapter of life forever closed, and I valued it highly.",HPL
"She often repined; but her trust in the singleness of his affection was undisturbed; and, when they were together, unchecked by fear, she opened her heart to the fullest delight.",MWS
To me there was nothing grotesque in the bones and skeletons that strowed some of the stone crypts deep down among the foundations.,HPL
"He was full of thought, and remained silent during a considerable part of our ride; at length he said, ""I must apologize to you for my abstraction; the truth is, Ryland's motion comes on to night, and I am considering my reply.""",MWS
"The Thing cannot be described there is no language for such abysms of shrieking and immemorial lunacy, such eldritch contradictions of all matter, force, and cosmic order.",HPL
"It was queer damnably queer and my uncle spoke almost sheepishly, as if half expecting not to be believed, when he declared that of the strange faces many had unmistakably borne the features of the Harris family.",HPL
"Raymond did not wonder, that, thus situated, the artist had shrunk from notice, but he did not for this alter his resolve.",MWS
"Not any more does he long for the magic of farther hills, or sigh for secrets that peer like green reefs from a bottomless sea.",HPL
"But while I endured punishment and pain in their defence with the spirit of an hero, I claimed as my reward their praise and obedience.",MWS
I must collect my thoughts.,MWS
"""Not so,"" said I, ""though I confess that my thoughts are not occupied as pleasantly as yours are.",MWS
"Then, as I remained, paralysed with fear, he found his voice and in his dying breath screamed forth those words which have ever afterward haunted my days and my nights.",HPL
"""Surely it is not the custom of Englishmen to receive strangers so inhospitably.""",MWS
"They remained confined for five months before the trial took place, the result of which deprived them of their fortune and condemned them to a perpetual exile from their native country.",MWS
"they never stopped swimmin' in an' aout o' the river from that cursed reef o' Satan an' more an' more attic winders got a boarded up, an' more an' more noises was heerd in haouses as wa'n't s'posed to hev nobody in 'em. . . .",HPL
"At Lawrence he had been prominent in the mock fraternity of ""Tappa Tappa Keg"", where he was the wildest and merriest of the wild and merry young roysterers; but this immature, collegiate frivolity did not satisfy him.",HPL
"The limbs, save for their black fur, roughly resembled the hind legs of prehistoric earth's giant saurians; and terminated in ridgy veined pads that were neither hooves nor claws.",HPL
"These are my enticements, and they are sufficient to conquer all fear of danger or death and to induce me to commence this laborious voyage with the joy a child feels when he embarks in a little boat, with his holiday mates, on an expedition of discovery up his native river.",MWS
"There were adequate bolts on the two lateral doors to connecting rooms, and these I proceeded to fasten.",HPL
"If manly courage and resistance can save us, we will be saved.",MWS
"The silver hair and benevolent countenance of the aged cottager won my reverence, while the gentle manners of the girl enticed my love.",MWS
I commenced by inuring my body to hardship.,MWS
"I travelled only at night, fearful of encountering the visage of a human being.",MWS
"Adrian had introduced systematic modes of proceeding in the metropolis, which, while they were unable to stop the progress of death, yet prevented other evils, vice and folly, from rendering the awful fate of the hour still more tremendous.",MWS
"The professor had been stricken whilst returning from the Newport boat; falling suddenly, as witnesses said, after having been jostled by a nautical looking negro who had come from one of the queer dark courts on the precipitous hillside which formed a short cut from the waterfront to the deceased's home in Williams Street.",HPL
"Suddenly the wretch, animated with his last burst of strength, raised his hideous head from the damp and sunken pavement.",HPL
"He also cut timber and began to repair the unused parts of his house a spacious, peaked roofed affair whose rear end was buried entirely in the rocky hillside, and whose three least ruined ground floor rooms had always been sufficient for himself and his daughter.",HPL
"The extreme darkness of the stage, whose only light was received from the fire under the cauldron, joined to a kind of mist that floated about it, rendered the unearthly shapes of the witches obscure and shadowy.",MWS
"Sheehan's is the acknowledged centre to Chicago's subterranean traffic in liquor and narcotics, and as such has a certain dignity which extends even to the unkempt attachés of the place; but there was until lately one who lay outside the pale of that dignity one who shared the squalor and filth, but not the importance, of Sheehan's.",HPL
It was perhaps an effect of such surroundings that my mind early acquired a shade of melancholy.,HPL
"""You ought to hear, though, what some of the old timers tell about the black reef off the coast Devil Reef, they call it.",HPL
"For a week I tasted to the full the joys of that charnel conviviality which I must not describe, when the thing happened, and I was borne away to this accursed abode of sorrow and monotony.",HPL
"He see enough, I tell ye, Mis' Corey This dun't mean no good, an' I think as all the men folks ought to git up a party an' do suthin'.",HPL
"No recognised school of sculpture had animated this terrible object, yet centuries and even thousands of years seemed recorded in its dim and greenish surface of unplaceable stone.",HPL
"For a long time I dared not hope; but when his unobstructed breathing and the moisture that suffused his forehead, were tokens no longer to be mistaken of the departure of mortal malady, I ventured to whisper the news of the change to Idris, and at length succeeded in persuading her that I spoke truth.",MWS
"All in all, he became a disconcerting and even gruesome companion; yet in my gratitude for his healing I could not well abandon him to the strangers around him, and was careful to dust his room and attend to his needs each day, muffled in a heavy ulster which I bought especially for the purpose.",HPL
"It was a lambent glow of this sort which always played about the old woman and the small furry thing in those lighter, sharper dreams which prefaced his plunge into unknown abysses, and the thought that a wakeful second person could see the dream luminance was utterly beyond sane harbourage.",HPL
"My first thought was Perdita; to her I must return; her I must support, drawing such food from despair as might best sustain her wounded heart; recalling her from the wild excesses of grief, by the austere laws of duty, and the soft tenderness of regret.",MWS
"He owned affinity not only with mankind, but all nature was akin to him; the mountains and sky were his friends; the winds of heaven and the offspring of earth his playmates; while he the focus only of this mighty mirror, felt his life mingle with the universe of existence.",MWS
Uninquiring souls let this occurrence pass as one of the major clashes in a spasmodic war on liquor.,HPL
"Alfred stood immoveable before him, his whole attention absorbed.",MWS
"Beyond it the rusted railway and the Rowley road led off through a flat, marshy terrain dotted with islets of higher and dryer scrub grown land.",HPL
"Williamson records and traditions were supplied in abundance by my grandfather; though for Orne material I had to depend on my uncle Walter, who put at my disposal the contents of all his files, including notes, letters, cuttings, heirlooms, photographs, and miniatures.",HPL
"When I heard the fears which had driven the people from Kilderry I laughed as loudly as my friend had laughed, for these fears were of the vaguest, wildest, and most absurd character.",HPL
"Leave me; I am inexorable.""",MWS
I listened to my father in silence and remained for some time incapable of offering any reply.,MWS
"You hate me, but your abhorrence cannot equal that with which I regard myself.",MWS
"I had been, albeit without definite reason, instinctively on my guard and that was to my advantage in the new and real crisis, whatever it might turn out to be.",HPL
Then with utter and horrifying suddenness we heard a frightful sound from below.,HPL
What do maps and records and guide books really tell of the North End? Bah At a guess I'll guarantee to lead you to thirty or forty alleys and networks of alleys north of Prince Street that aren't suspected by ten living beings outside of the foreigners that swarm them.,HPL
It would be useless to describe the playing of Erich Zann on that dreadful night.,HPL
"He made a vow against love and its train of struggles, disappointment and remorse, and sought in mere sensual enjoyment, a remedy for the injurious inroads of passion.",MWS
After that Johansen only brooded over the idol in the cabin and attended to a few matters of food for himself and the laughing maniac by his side.,HPL
"I retired early and full of dread, and for a long time could not sleep in the uncanny silence of the tower.",HPL
"I provided myself with a sum of money, together with a few jewels which had belonged to my mother, and departed.",MWS
"I rushed towards the window, and drawing a pistol from my bosom, fired; but he eluded me, leaped from his station, and running with the swiftness of lightning, plunged into the lake.",MWS
"She might have heard of my return from London, and my visit to Bolter's Lock, which, connected with my continued absence, might tend greatly to alarm her.",MWS
"This man, whose name was Beaufort, was of a proud and unbending disposition and could not bear to live in poverty and oblivion in the same country where he had formerly been distinguished for his rank and magnificence.",MWS
"We found, on each side of the humid pathway, ""dry land for the sole of the foot.""",MWS
"I dare not ask you to do what I think right, for I may still be misled by passion.",MWS
"Refusing to flee, I watched it fade and as I watched I felt that it was in turn watching me greedily with eyes more imaginable than visible.",HPL
"Since then I must be an object of indifference or contempt to her, better, far better avoid her, nor expose myself before her and the scornful world to the chance of playing the mad game of a fond, foolish Icarus.",MWS
I shewed her the dangers which her children incurred during her absence; and she at length agreed not to go beyond the inclosure of the forest.,MWS
"That scene itself must have corresponded to the sealed loft overhead, which had begun to attack his imagination so violently, but later impressions were faint and hazy.",HPL
"The remains of the half finished creature, whom I had destroyed, lay scattered on the floor, and I almost felt as if I had mangled the living flesh of a human being.",MWS
"It was plain that the owner had come home; but he had not come from the land, nor from any balloon or airship that could be imagined.",HPL
Others thought and still think he'd found an old pirate cache out on Devil Reef.,HPL
"This is what I saw in the glass: A thin, dark man of medium stature attired in the clerical garb of the Anglican church, apparently about thirty, and with rimless, steel bowed glasses glistening beneath a sallow, olive forehead of abnormal height.",HPL
Then again the kindly influence ceased to act I found myself fettered again to grief and indulging in all the misery of reflection.,MWS
"His feelings are forever on the stretch; and when he begins to sink into repose, he finds himself obliged to quit that on which he rests in pleasure for something new, which again engages his attention, and which also he forsakes for other novelties.",MWS
"""The father of Safie had been the cause of their ruin.",MWS
"""My children,"" she said, ""my firmest hopes of future happiness were placed on the prospect of your union.",MWS
"He developed strange caprices, acquiring a fondness for exotic spices and Egyptian incense till his room smelled like the vault of a sepulchred Pharaoh in the Valley of Kings.",HPL
Haow'd ye like to hear what comes from that awful reef every May Eve an' Hallowmass?,HPL
"The alienists listened with keen attention to his words, since their curiosity had been aroused to a high pitch by the suggestive yet mostly conflicting and incoherent stories of his family and neighbours.",HPL
It must have been midnight at least when Birch decided he could get through the transom.,HPL
"I will win him to me; he shall not deny his grief to me and when I know his secret then will I pour a balm into his soul and again I shall enjoy the ravishing delight of beholding his smile, and of again seeing his eyes beam if not with pleasure at least with gentle love and thankfulness.",MWS
As my uncle began slowly and grudgingly to unwrap the things he urged me not to be shocked by the strangeness and frequent hideousness of the designs.,HPL
"As I looked, a subtle, curious sense of beckoning seemed superadded to the grim repulsion; and oddly enough, I found this overtone more disturbing than the primary impression.",HPL
"It is curious that although he differed so widely from the mass of Hispanicised and tribal Indians, Romero gave not the least impression of Caucasian blood.",HPL
"The task seemed interminable, and I raged almost as violently as the hermit when I saw the hours slipping by in a breathless, foodless round of vain telephoning, and a hectic quest from place to place, hither and thither by subway and surface car.",HPL
I soon arrived at the hut: the door was ajar.,MWS
"Who or what then, was my great great grandmother?",HPL
For a moment I was almost paralized by fear; but my energy returned and I demanded a guide to accompany me in following his steps.,MWS
I could with pleasure have destroyed the cottage and its inhabitants and have glutted myself with their shrieks and misery.,MWS
Nor was any child to be born alive in that house for a century and a half.,HPL
"Then, as September approached, the clouds began to clear.",HPL
I remembered in one of her harshest moments a quotation of mine had roused her to anger and disdain.,MWS
"At times her screams became insupportable, and for long periods she would utter shrieking horrors which necessitated her son's temporary residence with his cousin, Peleg Harris, in Presbyterian Lane near the new college building.",HPL
"It was the pictorial carving, however, that did most to hold me spellbound.",HPL
"The grave was not very deep, but fully as good as that of the previous specimen the thing which had risen of itself and uttered a sound.",HPL
"About two hours after this occurrence we heard the ground sea, and before night the ice broke and freed our ship.",MWS
"The abysses were by no means vacant, being crowded with indescribably angled masses of alien hued substance, some of which appeared to be organic while others seemed inorganic.",HPL
"Past the churchyard, where there were no houses, I could see over the hill's summit and watch the glimmer of stars on the harbour, though the town was invisible in the dark.",HPL
"Disappointment and sickness have hitherto held dominion over me; twin born with me, my would, was for ever enchained by the shall not, of these my tyrants.",MWS
Adrian led the troops.,MWS
The tension on our part became very great.,HPL
"You on earth have unwittingly felt its distant presence you who without knowing idly gave to its blinking beacon the name of Algol, the Daemon Star.",HPL
"why string my nerves and renew my wearied efforts ah, why?",MWS
"Again a furtive trying of a bolted connecting door, and again a receding creaking.",HPL
"I was still alone, for as much as I feared the unknown horror I sought, there was more fear in the thought of telling anybody.",HPL
"I do not weep or sigh; but I must reason with myself, and force myself to feel sorrow and despair.",MWS
He knew things he didn't dare put into that stupid Magnalia or that puerile Wonders of the Invisible World.,HPL
"Briden looked back and went mad, laughing shrilly as he kept on laughing at intervals till death found him one night in the cabin whilst Johansen was wandering deliriously.",HPL
"To this man Iranon spoke, as to so many others: ""Canst thou tell me where I may find Aira, the city of marble and beryl, where flows the hyaline Nithra and where the falls of the tiny Kra sing to verdant valleys and hills forested with yath trees?""",HPL
"In my childhood the shunned house was vacant, with barren, gnarled, and terrible old trees, long, queerly pale grass, and nightmarishly misshapen weeds in the high terraced yard where birds never lingered.",HPL
"He found my name a good passport to preferment, and he had procured for me the situation of private secretary to the Ambassador at Vienna, where I should enter on my career under the best auspices.",MWS
"There were reasons why I would have been glad to let the war separate us; reasons why I found the practice of medicine and the companionship of West more and more irritating; but when he had gone to Ottawa and through a colleague's influence secured a medical commission as Major, I could not resist the imperious persuasion of one determined that I should accompany him in my usual capacity.",HPL
"But on you only had I any claim for pity and redress, and from you I determined to seek that justice which I vainly attempted to gain from any other being that wore the human form.",MWS
"I strove to think that all this grandeur was but more glaring infamy, and that, by planting his gold enwoven flag beside my tarnished and tattered banner, he proclaimed not his superiority, but his debasement.",MWS
I will not dwell longer than I need on these disastrous circumstances.,MWS
"Geographically it lay about two miles northwest of the base of Tempest Mountain, and three miles from the oak girt mansion.",HPL
I heard the next morning from the steward that upon his arrival he had been in a most terrible state of mind: he had passed the first night in the garden lying on the damp grass; he did not sleep but groaned perpetually.,MWS
Then the lock of the connecting door to my room was softly tried.,HPL
"On his throat were the marks of murderous hands, and on his left ankle was a distressing rat bite.",HPL
"Everything is related in them which bears reference to my accursed origin; the whole detail of that series of disgusting circumstances which produced it is set in view; the minutest description of my odious and loathsome person is given, in language which painted your own horrors and rendered mine indelible.",MWS
I gave him pretty nearly the same account of my former pursuits as I had given to his fellow professor.,MWS
"Thus was I left to ponder on myself as the only human creature within the great fortress, and in my utter solitude my mind began to cease its vain protest against the impending doom, to become almost reconciled to the fate which so many of my ancestors had met.",HPL
"As the music went on, my ideas seemed to quit their mortal dwelling house; they shook their pinions and began a flight, sailing on the placid current of thought, filling the creation with new glory, and rousing sublime imagery that else had slept voiceless.",MWS
"I waited for my letters with feverish impatience; if they were delayed I was miserable and overcome by a thousand fears; and when they arrived and I saw the superscription of Elizabeth or my father, I hardly dared to read and ascertain my fate.",MWS
But even in this acute moment my chief horror was something apart from the immediate weakness of my defences.,HPL
"Trade fallin' off, mills losin' business even the new ones an' the best of our menfolks kilt a privateerin' in the War of or lost with the Elizy brig an' the Ranger snow both of 'em Gilman venters.",HPL
"One fine February day, when the sun had reassumed some of its genial power, I walked in the forest with my family.",MWS
all over the reef an' swimmin' up the harbour into the Manuxet. . . .,HPL
At this time Lord Raymond returned from Greece.,MWS
"Bread and water did not tame my blood, nor solitary confinement inspire me with gentle thoughts.",MWS
"I carried pistols and a dagger constantly about me and was ever on the watch to prevent artifice, and by these means gained a greater degree of tranquillity.",MWS
"and one, who led the way, was clad in a ghoulishly humped black coat and striped trousers, and had a man's felt hat perched on the shapeless thing that answered for a head. . . .",HPL
"The event, under the circumstances, was tremendous; for in the existence of a subterranean space here, my mad theories had terrible confirmation.",HPL
The gentle words of Agatha and the animated smiles of the charming Arabian were not for me.,MWS
Alas Life is obstinate and clings closest where it is most hated.,MWS
"Gilman's dreams consisted largely in plunges through limitless abysses of inexplicably coloured twilight and bafflingly disordered sound; abysses whose material and gravitational properties, and whose relation to his own entity, he could not even begin to explain.",HPL
I was struck by the improvement that appeared in the health of Adrian.,MWS
"""Are you better now, sir?"" said she.",MWS
Another woman confirmed the account of the fishermen having brought the body into her house; it was not cold.,MWS
"His appearance, different from any I had ever before seen, and his flight somewhat surprised me.",MWS
"I am thy creature, and I will be even mild and docile to my natural lord and king if thou wilt also perform thy part, the which thou owest me.",MWS
"The insane yarn I had heard from the aged drunkard did not promise very pleasant dreams, and I felt I must keep the image of his wild, watery eyes as far as possible from my imagination.",HPL
"There was none of the exotic technique you see in Sidney Sime, none of the trans Saturnian landscapes and lunar fungi that Clark Ashton Smith uses to freeze the blood.",HPL
For Arthur Munroe was dead.,HPL
"Nor did I doubt, that in the tranquillity of our family circle at Windsor, she would recover some degree of composure, and in the end, of happiness.",MWS
"These Great Old Ones, Castro continued, were not composed altogether of flesh and blood.",HPL
"No man could crush a ""butterfly on the wheel"" with better effect; no man better cover a speedy retreat from a powerful adversary.",MWS
"Their still apparent union permitted her to do much; but no woman could, in the end, present a remedy to the encreasing negligence of the Protector; who, as if seized with a paroxysm of insanity, trampled on all ceremony, all order, all duty, and gave himself up to license.",MWS
When the old woman began to turn toward him he fled precipitately off the bridge and into the shelter of the town's labyrinthine waterfront alleys.,HPL
The rooks cawed loudly in the trees above; mixed with their hoarse cries I heard a lively strain of music.,MWS
I took it because of the queer old brick well in the cellar one of the sort I told you about.,HPL
No sympathy may I ever find.,MWS
"I suppose some astonishment was exhibited in my countenance, for Mr. Kirwin hastened to say, ""Immediately upon your being taken ill, all the papers that were on your person were brought me, and I examined them that I might discover some trace by which I could send to your relations an account of your misfortune and illness.",MWS
"He knew deeper vices through books, and he now longed to know them at first hand.",HPL
